feature,importance
bb_std,0.034098812066090646
bb_width,0.03389141057603977
atr_normalized,0.03232318912815991
bb_upper,0.0320848433955187
volatility_20,0.031883224588709576
sma20_vs_sma50,0.03175388068574216
macd_signal,0.030656769299122876
sma_50,0.030457021906454117
bb_lower,0.030304098737188603
atr,0.029849918706236305
sma_20,0.029360247062062042
adx,0.029099879740603348
bb_middle,0.028754284343723263
volume_ma10,0.027415080781306122
volume_ratio,0.027227721292897685
macd,0.027088715294373834
volatility_10,0.02662828870044855
macd_hist,0.025692505848152667
minus_di,0.025605364448493487
plus_di,0.024331286194162898
price_vs_sma50,0.024144898702533685
rsi_ma5,0.024112686064103318
rsi_deviation,0.023922490352512052
di_diff,0.02248659053160333
return_10,0.02167373329842392
dist_from_swing_high,0.021382710202640598
stoch_k,0.021342809335138987
rsi,0.020924207684784174
price_vs_sma20,0.019259648575688352
stoch_d,0.01887403348546895
bb_position,0.01862303326791684
dist_from_swing_low,0.018413864425320545
high_low_range,0.01804053737685659
return_5,0.017758743308119516
prev_body,0.01663900126327341
lower_shadow,0.015936059791429723
upper_shadow,0.01542915948052077
body_ratio,0.015063089407859094
body_size,0.014941469175591091
return_1,0.014309667503577699
close_position,0.013722968365162659
swing_high,0.007172843344630765
swing_low,0.0038834585149494128
engulfing,0.001429982201731217
candle_direction,0.001286405853654609
volume_spike,0.0007193656910221985
is_doji,0.0
