feature,importance
volume_ma10,0.03547229981660736
volume_ratio,0.03370264583936244
volatility_20,0.03324863319232236
atr,0.03263249097102041
atr_normalized,0.03229252230143475
volatility_10,0.027236608507061513
adx,0.026666633241534562
bb_std,0.026359049855421444
sma20_vs_sma50,0.026354183395515814
bb_width,0.025423312300816455
macd,0.02493204359676798
sma_50,0.024922891883995563
macd_signal,0.02469546939066403
bb_upper,0.024526194778980517
bb_middle,0.024185130966428558
plus_di,0.02409558568116938
sma_20,0.024063053602791654
bb_lower,0.0237639597519154
price_vs_sma50,0.023548080927989372
di_diff,0.023507223586920274
minus_di,0.023279133508823827
macd_hist,0.0230246136212553
rsi_ma5,0.02221698727594613
bb_position,0.021388939433396717
dist_from_swing_high,0.021174296089758057
dist_from_swing_low,0.021161684054554968
rsi,0.020857643984107832
return_5,0.020851670096124934
high_low_range,0.020526820233931483
lower_shadow,0.02041770324509127
stoch_d,0.020292759755827387
rsi_deviation,0.019980006338259484
upper_shadow,0.019867672402005616
return_10,0.019810149580984662
stoch_k,0.019571630591770427
price_vs_sma20,0.019421849164246757
close_position,0.018772291464019927
prev_body,0.018717160026343563
return_1,0.01788345931517443
body_ratio,0.01736627796060021
body_size,0.017145940000991775
swing_high,0.015473107373447046
swing_low,0.015165280348543121
engulfing,0.002048265935975136
candle_direction,0.0017777787756425936
volume_spike,0.00017886583445750147
is_doji,0.0
