feature,importance
swing_high,0.07798747
bb_width,0.07116961
bb_std,0.04656277
atr_normalized,0.0428988
swing_low,0.040649615
bb_lower,0.03616383
sma_50,0.032146946
atr,0.027187102
volatility_20,0.026755605
rsi_ma5,0.025278976
bb_upper,0.025077445
bb_position,0.023125554
sma_20,0.0230303
macd_hist,0.02302884
volume_ma10,0.022445286
price_vs_sma20,0.022435028
adx,0.02204557
macd_signal,0.021928502
volatility_10,0.02024132
sma20_vs_sma50,0.020036014
dist_from_swing_high,0.019589784
price_vs_sma50,0.019031877
plus_di,0.017831983
minus_di,0.01764972
stoch_k,0.017523944
macd,0.017326163
return_10,0.016870078
dist_from_swing_low,0.016317068
di_diff,0.015998898
return_1,0.015345281
volume_ratio,0.015321207
upper_shadow,0.014935166
engulfing,0.01466709
stoch_d,0.014564571
lower_shadow,0.01439633
rsi_deviation,0.014164326
high_low_range,0.013234507
return_5,0.013047265
rsi,0.012802402
close_position,0.012633693
body_ratio,0.012434205
body_size,0.012100215
prev_body,0.012019592
volume_spike,0.0
candle_direction,0.0
is_doji,0.0
bb_middle,0.0
